epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0391,0.64366,3.64478,1.18279,0.00612,1,0.0942,0.0554,0.48112,3.88292,1.01234,3.845e-05,3.845e-05,3.845e-05
2,44.7716,0.38475,3.50634,1.07154,0.00865,1,0.21117,0.12631,0.32229,3.84671,0.88649,8.37526e-05,8.37526e-05,8.37526e-05
3,68.1473,0.30389,3.4104,1.00125,0.0115,1,0.4951,0.34376,0.29661,3.83774,0.85255,0.000128142,0.000128142,0.000128142
4,89.6558,0.29244,3.30173,0.97622,0.01298,1,0.48317,0.39929,0.23205,3.82665,0.80921,0.000171617,0.000171617,0.000171617
5,111.726,0.27991,3.19851,0.96073,0.01499,1,0.53067,0.48328,0.25349,3.82147,0.83394,0.000214179,0.000214179,0.000214179
6,133.422,0.2631,3.05569,0.94632,0.01883,1,0.3602,0.32234,0.26744,3.80687,0.86439,0.000255827,0.000255827,0.000255827
7,155.32,0.27975,2.92459,0.93522,0.0185,1,0.43579,0.40664,0.31858,3.79717,0.92682,0.000296562,0.000296562,0.000296562
8,179.047,0.3112,2.75075,0.9398,0.01875,1,0.39592,0.36385,0.28522,3.75122,0.86945,0.000336383,0.000336383,0.000336383
9,201.246,0.29931,2.50553,0.94066,0.01821,1,0.34561,0.32887,0.32206,3.63874,0.88703,0.00037529,0.00037529,0.00037529
10,223.616,0.27658,2.42106,0.92924,0.01449,1,0.41899,0.36198,0.30942,3.68395,0.90192,0.000413284,0.000413284,0.000413284
11,245.232,0.27146,2.08034,0.93677,0.00967,1,0.61583,0.55902,0.35612,3.61644,0.90893,0.000450365,0.000450365,0.000450365
12,267.052,0.29173,1.97511,0.93823,0.79962,0.28571,0.80536,0.74613,0.38058,3.23406,0.92015,0.000486532,0.000486532,0.000486532
13,289.674,0.30557,1.82483,0.93661,0.80644,0.28571,0.81021,0.77822,0.34782,3.26862,0.89958,0.000521785,0.000521785,0.000521785
14,312.348,0.27864,1.7233,0.93641,0.88152,0.14286,0.7344,0.71305,0.40208,3.20976,0.9536,0.000556125,0.000556125,0.000556125
